path,label,source,group_id,split
Rose_Black_Spot/resized_Black Spot_2108.jpg,Rose_Black_Spot,black_spot,1438,test
Rose_Black_Spot/resized_Black Spot_2130.jpg,Rose_Black_Spot,black_spot,1439,train
Rose_Black_Spot/resized_Black Spot_2141.jpg,Rose_Black_Spot,black_spot,1440,train
Rose_Black_Spot/resized_Black Spot_217.jpg,Rose_Black_Spot,black_spot,1441,train
Rose_Black_Spot/resized_Black Spot_2200.jpg,Rose_Black_Spot,black_spot,1442,test
Rose_Black_Spot/resized_Black Spot_2201.jpg,Rose_Black_Spot,black_spot,1443,train
Rose_Black_Spot/resized_Black Spot_2209.jpg,Rose_Black_Spot,black_spot,1440,train
Rose_Black_Spot/resized_Black Spot_2212.jpg,Rose_Black_Spot,black_spot,1444,train
Rose_Black_Spot/resized_Black Spot_2245.jpg,Rose_Black_Spot,black_spot,726,train
Rose_Black_Spot/resized_Black Spot_2251.jpg,Rose_Black_Spot,black_spot,1445,train
Rose_Black_Spot/resized_Black Spot_2266.jpg,Rose_Black_Spot,black_spot,1446,test
Rose_Black_Spot/resized_Black Spot_2291.jpg,Rose_Black_Spot,black_spot,1447,test
Rose_Black_Spot/resized_Black Spot_2296.jpg,Rose_Black_Spot,black_spot,1448,train
Rose_Black_Spot/resized_Black Spot_2346.jpg,Rose_Black_Spot,black_spot,1449,test
Rose_Black_Spot/resized_Black Spot_2362.jpg,Rose_Black_Spot,black_spot,1450,val
Rose_Black_Spot/resized_Black Spot_2365.jpg,Rose_Black_Spot,black_spot,1451,train
Rose_Black_Spot/resized_Black Spot_2366.jpg,Rose_Black_Spot,black_spot,1452,val
Rose_Black_Spot/resized_Black Spot_2396.jpg,Rose_Black_Spot,black_spot,1453,test
Rose_Black_Spot/resized_Black Spot_2399.jpg,Rose_Black_Spot,black_spot,1454,test
Rose_Black_Spot/resized_Black Spot_2413.jpg,Rose_Black_Spot,black_spot,1455,train
Rose_Black_Spot/resized_Black Spot_2415.jpg,Rose_Black_Spot,black_spot,1456,train
Rose_Black_Spot/resized_Black Spot_2435.jpg,Rose_Black_Spot,black_spot,1457,train
Rose_Black_Spot/resized_Black Spot_2440.jpg,Rose_Black_Spot,black_spot,1458,train
Rose_Black_Spot/resized_Black Spot_2454.jpg,Rose_Black_Spot,black_spot,1459,train
Rose_Black_Spot/resized_Black Spot_2460.jpg,Rose_Black_Spot,black_spot,1460,test
Rose_Black_Spot/resized_Black Spot_2486.jpg,Rose_Black_Spot,black_spot,724,train
Rose_Black_Spot/resized_Black Spot_2495.jpg,Rose_Black_Spot,black_spot,165,train
Rose_Black_Spot/resized_Black Spot_2501.jpg,Rose_Black_Spot,black_spot,1461,test
Rose_Black_Spot/resized_Black Spot_2505.jpg,Rose_Black_Spot,black_spot,1462,train
Rose_Black_Spot/resized_Black Spot_2508.jpg,Rose_Black_Spot,black_spot,1463,train
Rose_Black_Spot/resized_Black Spot_26.jpg,Rose_Black_Spot,black_spot,1464,train
Rose_Black_Spot/resized_Black Spot_264.jpg,Rose_Black_Spot,black_spot,1465,train
Rose_Black_Spot/resized_Black Spot_2642.jpg,Rose_Black_Spot,black_spot,1466,val
Rose_Black_Spot/resized_Black Spot_2643.jpg,Rose_Black_Spot,black_spot,1467,train
Rose_Black_Spot/resized_Black Spot_2646.jpg,Rose_Black_Spot,black_spot,1468,train
Rose_Black_Spot/resized_Black Spot_2648.jpg,Rose_Black_Spot,black_spot,1469,val
Rose_Black_Spot/resized_Black Spot_2649.jpg,Rose_Black_Spot,black_spot,1470,val
Rose_Black_Spot/resized_Black Spot_265.jpg,Rose_Black_Spot,black_spot,1471,train
Rose_Black_Spot/resized_Black Spot_2655.jpg,Rose_Black_Spot,black_spot,1472,train
Rose_Black_Spot/resized_Black Spot_266.jpg,Rose_Black_Spot,black_spot,1473,test
Rose_Black_Spot/resized_Black Spot_2665.jpg,Rose_Black_Spot,black_spot,1474,train
Rose_Black_Spot/resized_Black Spot_2666.jpg,Rose_Black_Spot,black_spot,1475,train
Rose_Black_Spot/resized_Black Spot_2669.jpg,Rose_Black_Spot,black_spot,1476,train
Rose_Black_Spot/resized_Black Spot_267.jpg,Rose_Black_Spot,black_spot,1477,train
